ImpactID,MealID,ConditionType,Notes,Score
357,18,Fatty Liver,High saturated fat and cholesterol from beef; not ideal for fatty liver.,4
358,18,High Cholesterol,"Red meat, high in saturated fat and cholesterol; not recommended for cholesterol management.",3
359,18,High Blood Pressure,"Sodium moderate, especially if pickles are included; best with low sodium pickles.",7
360,18,Gout,Beef is high in purines; not recommended for gout.,2
361,18,Fatty Liver,"Healthy unsaturated fats, fiber, plant protein; excellent for fatty liver.",10
362,18,High Cholesterol,"Low saturated fat, no cholesterol, heart-healthy; highly beneficial.",10
363,18,High Blood Pressure,No sodium; excellent for hypertension.,10
364,18,Gout,"Plant-based, low purines; very safe for gout.",10
365,18,Fatty Liver,"High fiber, plant protein, low saturated fat; excellent for fatty liver.",10
366,18,High Cholesterol,"Low saturated fat, no cholesterol, heart-healthy; highly beneficial.",10
367,18,High Blood Pressure,"Very low sodium, potassium-rich; excellent for hypertension.",10
368,18,Gout,Legumes moderate in purines; safe in portion control.,8
369,18,Fatty Liver,"Low calorie, low fat, modest fiber, no added sugar; good for fatty liver.",9
370,18,High Cholesterol,"No cholesterol, no fat; highly beneficial.",10
371,18,High Blood Pressure,Very low sodium; excellent for hypertension.,10
372,18,Gout,"Plant-based, low purines; very safe for gout.",10
373,18,Fatty Liver,"Healthy fats, low carbs, plant protein; supportive for fatty liver.",10
374,18,High Cholesterol,"Low saturated fat, no cholesterol; beneficial.",10
375,18,High Blood Pressure,No sodium; excellent for hypertension.,10
376,18,Gout,"Plant-based, low purines; very safe for gout.",10
377,19,Fatty Liver,"High refined carbohydrate, saturated fat, and sodium; not ideal for fatty liver.",4
378,19,High Cholesterol,"Saturated fat from cream cheese, refined carbs; not supportive for cholesterol management.",4
379,19,High Blood Pressure,High sodium from bagel and cream cheese; not recommended for hypertension.,3
380,19,Gout,"Mostly moderate purines, no high purine animal protein; generally safe.",8
381,19,Fatty Liver,"High in healthy fats and fiber, but calorie dense; portion control needed for fatty liver.",7
382,19,High Cholesterol,"High unsaturated fat, low saturated fat, no cholesterol; supportive for cholesterol.",9
383,19,High Blood Pressure,"Very low sodium, potassium-rich tomatoes; excellent for blood pressure.",10
384,19,Gout,Peanuts moderate in purines; portion control important for gout.,8
385,19,Fatty Liver,"Moderate fat and protein, high sodium, and refined carbs; not optimal for fatty liver.",6
386,19,High Cholesterol,"Lean protein, low saturated fat, but bread is refined; generally acceptable.",8
387,19,High Blood Pressure,High sodium from tuna and bread; not ideal for hypertension.,4
388,19,Gout,Tuna is high in purines; not recommended for gout.,3
389,19,Fatty Liver,"Moderate fat, some fiber and protein; suitable in moderation for fatty liver.",8
390,19,High Cholesterol,Low saturated fat and cholesterol; supportive for cholesterol.,9
391,19,High Blood Pressure,Moderate sodium; generally acceptable for blood pressure.,8
392,19,Gout,"Plant-based, low purines; safe for gout.",10
393,19,Fatty Liver,"Moderate fat, healthy unsaturated fat, natural sugar, good fiber; supportive for fatty liver.",8
394,19,High Cholesterol,"No cholesterol, low saturated fat, healthy fat from almonds; beneficial.",10
395,19,High Blood Pressure,"Low sodium, potassium-rich banana; excellent for hypertension.",10
396,19,Gout,"Plant-based, low purines; very safe for gout.",10
397,20,Fatty Liver,"High fiber, low fat, no cholesterol; highly supportive for fatty liver.",10
398,20,High Cholesterol,"No cholesterol, low saturated fat; very beneficial.",10
399,20,High Blood Pressure,"Moderate sodium, high potassium from fruit; supportive for blood pressure.",9
400,20,Gout,"Plant-based, low purines; very safe for gout.",10
401,20,Fatty Liver,"Lean protein, moderate fat, some saturated fat from cheese; supportive in moderation.",8
402,20,High Cholesterol,Chicken and cheese increase cholesterol; best with less cheese.,7
403,20,High Blood Pressure,"Sodium moderate, especially from cheese; supportive if cheese is limited.",7
404,20,Gout,"Chicken moderate in purines, cheese low; safe in moderation.",7
405,20,Fatty Liver,"Healthy fats, plant-based protein, and fiber; excellent for fatty liver.",10
406,20,High Cholesterol,"No cholesterol, high unsaturated fat; highly beneficial.",10
407,20,High Blood Pressure,"No sodium, potassium-rich; excellent for hypertension.",10
408,20,Gout,"Low purines, plant-based; very safe.",10
409,20,Fatty Liver,Contains saturated fat and cholesterol from eggs and cream; best as an occasional snack.,5
410,20,High Cholesterol,High saturated fat and cholesterol; not recommended for cholesterol management.,4
411,20,High Blood Pressure,Sodium moderate; best in moderation for hypertension.,7
412,20,Gout,Eggs and cheese moderate in purines; safe in moderation.,7
413,20,Fatty Liver,"High fiber, low fat, plant-based; excellent for fatty liver.",10
414,20,High Cholesterol,"No cholesterol, very low fat; highly beneficial.",10
415,20,High Blood Pressure,"Very low sodium, potassium-rich; excellent for blood pressure.",10
416,20,Gout,Mushrooms moderate in purines; generally safe in moderation.,8
417,20,Fatty Liver,"High sugar, saturated fat; best as an occasional treat for fatty liver.",4
418,20,High Cholesterol,Contains saturated fat and cholesterol; not recommended for cholesterol management.,5
419,20,High Blood Pressure,"Low sodium, but sugar and saturated fat should be limited.",7
420,20,Gout,"Dairy-based, low purines; safe for gout.",9
421,21,Fatty Liver,"Moderate fat, lean protein, some fiber, but high sodium; generally supportive with occasional sodium caution.",7
422,21,High Cholesterol,"Low saturated fat and cholesterol, nonfat milk; supportive for cholesterol.",9
423,21,High Blood Pressure,High sodium from wrap and cheese; not ideal for hypertension.,5
424,21,Gout,Egg whites and cheese moderate in purines; suitable in moderation.,8
425,21,Fatty Liver,"High fiber, moderate healthy fats, plant-based protein; highly supportive for fatty liver.",9
426,21,High Cholesterol,"No cholesterol, high unsaturated fat; beneficial for cholesterol.",10
427,21,High Blood Pressure,"Moderate sodium, potassium-rich from vegetables; supportive if sodium controlled.",8
428,21,Gout,Chickpeas moderate in purines; generally safe if portion controlled.,8
429,21,Fatty Liver,"High in healthy unsaturated fats, plant protein; portion control important for fatty liver.",7
430,21,High Cholesterol,"High unsaturated fat, low saturated fat, no cholesterol; beneficial.",10
431,21,High Blood Pressure,"Very low sodium, potassium from nuts; excellent for hypertension.",10
432,21,Gout,"Moderate purines, plant-based; safe in moderate portions.",8
433,21,Fatty Liver,"High in fat, saturated fat, and sodium; not ideal for fatty liver.",4
434,21,High Cholesterol,"High saturated fat and cholesterol from cheese, bacon, and egg; not recommended for cholesterol management.",3
435,21,High Blood Pressure,"High sodium from bacon, cheese, bread; not ideal for blood pressure.",3
436,21,Gout,"Chicken, egg, and bacon are high in purines; not recommended for gout.",2
437,21,Fatty Liver,"High sugar, saturated fat; best as an occasional treat for fatty liver.",5
438,21,High Cholesterol,"Contains saturated fat, but small portion; acceptable for cholesterol if infrequent.",6
439,21,High Blood Pressure,Very low sodium; fine for hypertension in moderation.,10
440,21,Gout,"Plant-based, low purines; very safe for gout.",10
441,21,Fatty Liver,"Low calorie, low fat, modest fiber; good for fatty liver.",9
442,21,High Cholesterol,"No cholesterol, no fat; highly beneficial.",10
443,21,High Blood Pressure,Very low sodium; excellent for blood pressure.,10
444,21,Gout,"Plant-based, low purines; very safe for gout.",10
445,22,Fatty Liver,"High fiber, healthy fats, plant-based; supportive for fatty liver.",9
446,22,High Cholesterol,"Low saturated fat, no cholesterol, omega-3s from flax; very supportive.",10
447,22,High Blood Pressure,"Low sodium, potassium from almond milk; excellent for hypertension.",10
448,22,Gout,"Plant-based, low purines; very safe for gout.",10
449,22,Fatty Liver,"Low fat, low calorie, little fiber; acceptable as an occasional snack.",7
450,22,High Cholesterol,"No cholesterol, no fat; supportive for cholesterol.",10
451,22,High Blood Pressure,Low sodium; good for blood pressure.,10
452,22,Gout,"Plant-based, low purines; very safe for gout.",10
453,22,Fatty Liver,"High fiber, healthy fats, plant-based; excellent for fatty liver.",10
454,22,High Cholesterol,"No cholesterol, low saturated fat, unsaturated fats; highly beneficial.",10
455,22,High Blood Pressure,"Moderate sodium, potassium-rich; supportive for blood pressure.",9
456,22,Gout,"Plant-based, low purines; very safe for gout.",10
457,22,Fatty Liver,Contains animal fat and refined carbs; not optimal for fatty liver.,5
458,22,High Cholesterol,Some saturated fat and cholesterol; best as an occasional snack.,6
459,22,High Blood Pressure,Moderate sodium; acceptable in moderation.,7
460,22,Gout,"Contains animal fat, moderate purines; safe in small portions.",7
461,22,Fatty Liver,"High fiber, no fat, micronutrients; excellent for fatty liver.",10
462,22,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
463,22,High Blood Pressure,"Very low sodium, potassium-rich; excellent for blood pressure.",10
464,22,Gout,"Plant-based, low purines; very safe for gout.",10
465,22,Fatty Liver,Fish salad contains moderate fat and sodium; portion control needed for fatty liver.,6
466,22,High Cholesterol,Contains cholesterol and some saturated fat; moderation recommended.,6
467,22,High Blood Pressure,High sodium from fish salad and olives; not ideal for hypertension.,5
468,22,Gout,Whitefish is high in purines; not recommended for gout.,3
469,22,Fatty Liver,"High vitamin C, fiber, no fat; excellent for fatty liver.",10
470,22,High Cholesterol,"No cholesterol, no saturated fat; highly beneficial.",10
471,22,High Blood Pressure,"Very low sodium, potassium-rich; optimal for blood pressure.",10
472,22,Gout,"Plant-based, low purines; very safe for gout.",10
473,22,Fatty Liver,"High sugar, saturated fat; best as an occasional treat for fatty liver.",5
474,22,High Cholesterol,"Contains saturated fat, but small portion; acceptable for cholesterol if infrequent.",6
475,22,High Blood Pressure,Very low sodium; fine for hypertension in moderation.,10
476,22,Gout,"Plant-based, low purines; very safe for gout.",10
477,23,Fatty Liver,"Moderate fat, high cholesterol, high-quality protein; best in moderation for fatty liver.",7
478,23,High Cholesterol,"High cholesterol, moderate saturated fat; limit for high cholesterol.",5
479,23,High Blood Pressure,"Low sodium, high protein; supportive for blood pressure.",9
480,23,Gout,Eggs are moderate in purines; suitable in moderation.,8
481,23,Fatty Liver,"Healthy fats, fiber, plant protein; excellent for fatty liver.",10
482,23,High Cholesterol,"High unsaturated fat, low saturated fat; highly beneficial.",10
483,23,High Blood Pressure,No sodium; very supportive.,10
484,23,Gout,"Plant-based, low purines; very safe for gout.",10
485,23,Fatty Liver,Contains saturated fat and cholesterol; best in moderation for fatty liver.,6
486,23,High Cholesterol,"Contains eggs and mayonnaise, moderate saturated fat; limit for high cholesterol.",6
487,23,High Blood Pressure,Moderate sodium; best with portion control.,7
488,23,Gout,"Contains eggs, moderate purines; safe in moderation.",7
489,23,Fatty Liver,"Plant-based, moderate fat, high fiber; supportive for fatty liver.",9
490,23,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
491,23,High Blood Pressure,"Moderate sodium, high potassium from vegetables; supportive for blood pressure.",9
492,23,Gout,"Plant-based, low purines; very safe for gout.",10
493,23,Fatty Liver,High in vegetables and healthy fat; excellent for fatty liver.,10
494,23,High Cholesterol,"No cholesterol, low saturated fat, high unsaturated fat; highly beneficial.",10
495,23,High Blood Pressure,"Very low sodium, potassium-rich; excellent for hypertension.",10
496,23,Gout,"Plant-based, low purines; very safe for gout.",10
497,23,Fatty Liver,High saturated fat and cholesterol; best as an occasional snack for fatty liver.,5
498,23,High Cholesterol,High saturated fat and cholesterol; not ideal for cholesterol management.,5
499,23,High Blood Pressure,Moderate sodium; acceptable in moderation.,7
500,23,Gout,"Eggs, cheese, and mushrooms are moderate in purines; safe in small amounts.",7
501,23,Fatty Liver,"Moderate fat, high sodium, refined carbs; best in moderation for fatty liver.",5
502,23,High Cholesterol,Contains cholesterol and moderate saturated fat; limit for high cholesterol.,6
503,23,High Blood Pressure,"High sodium from broth, pickle, and chips; not recommended for hypertension.",3
504,23,Gout,"Contains egg and chicken broth, moderate purines; limit for gout.",6
505,23,Fatty Liver,"High fat and sugar, but very small portion; minimal impact for fatty liver.",7
506,23,High Cholesterol,Contains saturated fat and cholesterol; very small serving is acceptable.,7
507,23,High Blood Pressure,Very low sodium; no concern for hypertension.,10
508,23,Gout,"Low purines, very small portion; safe for gout.",10
509,24,Fatty Liver,"High fiber, low fat, antioxidant-rich; excellent for fatty liver.",10
510,24,High Cholesterol,"No cholesterol, no saturated fat, high fiber; highly beneficial.",10
511,24,High Blood Pressure,"Low sodium, potassium-rich fruits; supportive for hypertension.",10
512,24,Gout,"Dairy and fruit, low purines; very safe for gout.",10
513,24,Fatty Liver,"Healthy fat, fiber, plant protein; excellent for fatty liver.",10
514,24,High Cholesterol,"No cholesterol, high unsaturated fat, low saturated fat; highly beneficial.",10
515,24,High Blood Pressure,No sodium; excellent for hypertension.,10
516,24,Gout,"Plant-based, low purines; very safe for gout.",10
517,24,Fatty Liver,"Lean protein, moderate fat, high sodium, refined bread; moderation needed for fatty liver.",6
518,24,High Cholesterol,"Moderate saturated fat from mayo, tuna is lean; supportive if mayo is limited.",7
519,24,High Blood Pressure,High sodium from bread and tuna; not optimal for hypertension.,5
520,24,Gout,Tuna is high in purines; not ideal for gout.,3
521,24,Fatty Liver,"High vitamin C, fiber, low calorie; excellent for fatty liver.",10
522,24,High Cholesterol,"No cholesterol, no fat; highly beneficial.",10
523,24,High Blood Pressure,"Very low sodium, potassium-rich; excellent for blood pressure.",10
524,24,Gout,"Plant-based, low purines; very safe for gout.",10
525,24,Fatty Liver,"Low calorie, low fat, some fiber; good for fatty liver.",9
526,24,High Cholesterol,"No cholesterol, no fat; highly beneficial.",10
527,24,High Blood Pressure,Very low sodium; excellent for blood pressure.,10
528,24,Gout,"Plant-based, low purines; very safe for gout.",10
529,24,Fatty Liver,"High fiber, lean protein, low fat; supportive for fatty liver.",9
530,24,High Cholesterol,"Low saturated fat, lean protein, no cheese; very supportive.",10
531,24,High Blood Pressure,"Moderate sodium, potassium-rich; supportive for hypertension.",8
532,24,Gout,"Chicken moderate in purines, beans low; safe in moderation.",8
533,24,Fatty Liver,"High in healthy fats, but calorie dense from cheese, nuts, and dressing; moderation needed for fatty liver.",6
534,24,High Cholesterol,"Contains saturated fat from goat cheese, but mostly unsaturated fat from pecans; supportive in moderation.",7
535,24,High Blood Pressure,"Moderate sodium, potassium from greens; supportive if dressing is not salty.",8
536,24,Gout,Cheese and nuts low in purines; very safe for gout.,10
537,25,Fatty Liver,"High refined carbs, saturated fat, and sodium; not ideal for fatty liver.",4
538,25,High Cholesterol,Contains saturated fat and cholesterol from cream cheese; not recommended for cholesterol management.,4
539,25,High Blood Pressure,High sodium content; not supportive for hypertension.,3
540,25,Gout,"Moderate purines, little animal protein; generally okay in moderation.",8
541,25,Fatty Liver,"High in vegetables and healthy fats, moderate sodium and cheese; supportive in moderation.",8
542,25,High Cholesterol,Contains some saturated fat from feta; generally supportive with moderation.,7
543,25,High Blood Pressure,Moderate sodium from cheese and olives; suitable if sodium is controlled elsewhere.,7
544,25,Gout,"Plant-based, low purines; very safe for gout.",10
545,25,Fatty Liver,"High fiber, fruit, healthy fat; supportive for fatty liver.",9
546,25,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
547,25,High Blood Pressure,"Very low sodium, potassium-rich; excellent for hypertension.",10
548,25,Gout,"Plant-based, low purines; very safe for gout.",10
549,25,Fatty Liver,"High fiber, lean protein, healthy fats; supportive for fatty liver.",9
550,25,High Cholesterol,"Low saturated fat, lean protein, no cheese; very supportive.",10
551,25,High Blood Pressure,"Moderate sodium, potassium-rich; supportive if sodium is limited elsewhere.",7
552,25,Gout,"Chicken moderate in purines, beans and seeds low; safe in moderation.",8
553,25,Fatty Liver,"Contains healthy fat and protein, moderate sodium; supportive if portion controlled.",8
554,25,High Cholesterol,"High unsaturated fat, low saturated fat; beneficial.",9
555,25,High Blood Pressure,Moderate sodium from soy sauce; supportive in moderation.,7
556,25,Gout,"Peanuts moderate in purines, largely plant-based; safe in moderation.",8
557,25,Fatty Liver,"High in antioxidants, fiber, low fat; excellent for fatty liver.",10
558,25,High Cholesterol,"No cholesterol, no fat; highly beneficial.",10
559,25,High Blood Pressure,"No sodium, potassium-rich; excellent for hypertension.",10
560,25,Gout,"Plant-based, low purines; cherries may help reduce gout attacks.",10
561,26,Fatty Liver,"High fiber, low fat, plant-based; supportive for fatty liver.",9
562,26,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
563,26,High Blood Pressure,"Moderate sodium, potassium from almond milk; supportive for hypertension.",9
564,26,Gout,"Plant-based, low purines; very safe for gout.",10
565,26,Fatty Liver,"Healthy fats, fiber, plant-based; excellent for fatty liver.",10
566,26,High Cholesterol,"No cholesterol, high unsaturated fat; highly beneficial.",10
567,26,High Blood Pressure,No sodium; very supportive.,10
568,26,Gout,"Plant-based, low purines; very safe for gout.",10
569,26,Fatty Liver,"High fat, refined carbs, and sodium; not optimal for fatty liver.",4
570,26,High Cholesterol,Moderate saturated fat and cholesterol; portion control needed.,5
571,26,High Blood Pressure,"High sodium, fried foods; best avoided for hypertension.",3
572,26,Gout,Breaded chicken moderate in purines; safe with moderation.,7
573,26,Fatty Liver,High sugar and saturated fat; occasional treat for fatty liver.,4
574,26,High Cholesterol,"Contains saturated fat, some cholesterol; best as a rare treat.",5
575,26,High Blood Pressure,"Low sodium, but high sugar and fat; acceptable in moderation.",8
576,26,Gout,"Mostly plant-based, low purines; very safe for gout.",10
577,26,Fatty Liver,"High fat, saturated fat, and cholesterol from meats and cheese; not recommended for fatty liver.",2
578,26,High Cholesterol,High saturated fat and cholesterol; not advised for cholesterol management.,2
579,26,High Blood Pressure,"High sodium, saturated fat; not suitable for hypertension.",2
580,26,Gout,Red meats and cheese are high in purines; not recommended for gout.,1
581,27,Fatty Liver,"High refined carbs, saturated fat, and sodium; not optimal for fatty liver.",4
582,27,High Cholesterol,Contains saturated fat and cholesterol from cream cheese; not supportive for cholesterol management.,4
583,27,High Blood Pressure,High sodium content; not recommended for hypertension.,3
584,27,Gout,"Moderate purines, mostly plant-based; generally safe in moderation.",8
585,27,Fatty Liver,"Moderate fat, fiber, and protein; suitable in moderation for fatty liver.",8
586,27,High Cholesterol,Low saturated fat and cholesterol; supportive for cholesterol.,9
587,27,High Blood Pressure,Moderate sodium; generally acceptable for blood pressure.,8
588,27,Gout,"Plant-based, low purines; very safe for gout.",10
589,27,Fatty Liver,"Healthy fats from avocado, moderate sodium, refined carbs; portion control needed.",7
590,27,High Cholesterol,"Healthy unsaturated fat, low saturated fat; supportive for cholesterol.",9
591,27,High Blood Pressure,Moderate sodium from crackers; portion control helps.,7
592,27,Gout,"Plant-based, low purines; very safe for gout.",10
593,27,Fatty Liver,"High saturated fat and cholesterol, large portion size; not recommended for fatty liver.",2
594,27,High Cholesterol,Very high saturated fat and cholesterol; not advised for cholesterol management.,2
595,27,High Blood Pressure,High sodium and saturated fat; not suitable for hypertension.,2
596,27,Gout,Beef patties are high in purines; not recommended for gout.,1
597,27,Fatty Liver,"Contains moderate fat and sodium, some fiber and protein; moderation needed.",6
598,27,High Cholesterol,"Contains eggs and mayonnaise, moderate saturated fat and cholesterol; best in moderation.",6
599,27,High Blood Pressure,"High sodium from soup, sandwich, and chips; not ideal for hypertension.",4
600,27,Gout,"Eggs are moderate in purines, mushrooms are moderate; safe in moderation.",7
601,28,Fatty Liver,"Contains saturated fat and cholesterol, refined carbs; moderation is important.",5
602,28,High Cholesterol,High cholesterol and saturated fat from egg and cheese; not ideal for cholesterol.,4
603,28,High Blood Pressure,"Contains moderate sodium, especially from cheese; limit for hypertension.",6
604,28,Gout,Egg and cheese moderate in purines; acceptable in moderation.,7
605,28,Fatty Liver,"High fiber, plant-based, modest fat; supportive for fatty liver.",9
606,28,High Cholesterol,"No cholesterol, low saturated fat; very supportive for cholesterol.",10
607,28,High Blood Pressure,Moderate sodium; watch portion if sensitive.,7
608,28,Gout,Chickpeas moderate in purines; safe in reasonable portions.,8
609,28,Fatty Liver,"High sugar, saturated fat; best as an occasional treat.",4
610,28,High Cholesterol,"Contains saturated fat, very small portion; minimal impact if infrequent.",6
611,28,High Blood Pressure,Very low sodium; fine for hypertension as a treat.,10
612,28,Gout,"Low purines, small portion; safe for gout.",10
613,28,Fatty Liver,"Moderate fat, fiber, and protein; suitable in moderation.",8
614,28,High Cholesterol,"Low saturated fat, no cholesterol; supportive for cholesterol.",9
615,28,High Blood Pressure,Moderate sodium; generally acceptable.,8
616,28,Gout,"Plant-based, low purines; safe for gout.",10
617,28,Fatty Liver,Contains saturated fat and sugar; best as an occasional dessert.,4
618,28,High Cholesterol,Contains saturated fat and cholesterol; not ideal for cholesterol management.,5
619,28,High Blood Pressure,"Moderate sodium, small portion; generally acceptable.",8
620,28,Gout,"Low purines, small portion; safe for gout.",10
621,28,Fatty Liver,"High in fiber, plant protein, healthy fats, low in saturated fat; excellent for fatty liver.",10
622,28,High Cholesterol,"No cholesterol, low saturated fat, plant-based; highly beneficial.",10
623,28,High Blood Pressure,"Moderate sodium, potassium-rich; supportive for hypertension.",9
624,28,Gout,"Plant-based, low purines; very safe for gout.",10
625,29,Fatty Liver,"High fiber, fruit, and healthy fats; supportive for fatty liver.",9
626,29,High Cholesterol,"Low saturated fat and cholesterol, plant-based; highly beneficial.",10
627,29,High Blood Pressure,"Low sodium, potassium-rich; very supportive for hypertension.",10
628,29,Gout,"Plant-based, low purines; very safe for gout.",10
629,29,Fatty Liver,"High fiber, plant protein, moderate fat; supportive for fatty liver.",9
630,29,High Cholesterol,"Low saturated fat, no cholesterol, healthy fat; very supportive.",10
631,29,High Blood Pressure,"Moderate sodium, potassium-rich; supportive for hypertension.",8
632,29,Gout,"Mushrooms moderate in purines, otherwise plant-based; safe in moderation.",8
633,29,Fatty Liver,"Low calorie, high vitamin C, fiber; excellent for fatty liver.",10
634,29,High Cholesterol,"No cholesterol, no fat; highly beneficial.",10
635,29,High Blood Pressure,"Very low sodium, potassium-rich; excellent for hypertension.",10
636,29,Gout,"Plant-based, low purines; very safe for gout.",10
637,29,Fatty Liver,"Lean protein, healthy fats, high sodium, and purines; moderation is needed.",5
638,29,High Cholesterol,"Contains omega-3s, moderate fat, some cholesterol; supportive if not excessive.",7
639,29,High Blood Pressure,High sodium from soy sauce and rolls; limit for hypertension.,4
640,29,Gout,"Fish, especially bluefin, salmon, eel, and yellowtail, are high in purines; not recommended for gout.",2
641,29,Fatty Liver,"Healthy fats, fiber, plant protein; excellent for fatty liver.",10
642,29,High Cholesterol,"No cholesterol, high unsaturated fat; highly beneficial.",10
643,29,High Blood Pressure,No sodium; excellent for blood pressure.,10
644,29,Gout,"Plant-based, low purines; very safe for gout.",10
645,29,Fatty Liver,"Very small amount, healthy fat; negligible impact.",10
646,29,High Cholesterol,"No cholesterol, healthy fat; negligible impact.",10
647,29,High Blood Pressure,No sodium; neutral for hypertension.,10
648,29,Gout,"Plant-based, low purines; very safe for gout.",10
649,30,Fatty Liver,"Low fat, high sugar, some fiber; supportive but reduce sugar for best results.",7
650,30,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
651,30,High Blood Pressure,"Moderate sodium, low fat; generally supportive.",8
652,30,Gout,"Plant-based, low purines; very safe for gout.",10
653,30,Fatty Liver,"Healthy fats, fiber, plant-based protein; excellent for fatty liver.",10
654,30,High Cholesterol,"No cholesterol, high unsaturated fat; highly beneficial.",10
655,30,High Blood Pressure,No sodium; excellent for hypertension.,10
656,30,Gout,"Low purines, plant-based; very safe for gout.",10
657,30,Fatty Liver,"High fiber, antioxidants, but high sugar; moderation recommended.",7
658,30,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
659,30,High Blood Pressure,"Very low sodium, potassium-rich; excellent for hypertension.",10
660,30,Gout,"Plant-based, low purines; very safe for gout.",10
661,30,Fatty Liver,"Lean protein, healthy fat, moderate carbs; supportive but limit mayonnaise for best results.",7
662,30,High Cholesterol,"Contains omega-3s, moderate saturated fat; beneficial if mayo is limited.",8
663,30,High Blood Pressure,"Moderate sodium, potassium from greens; generally supportive.",8
664,30,Gout,Salmon is high in purines; best to limit if prone to gout.,4
665,31,Fatty Liver,"Balanced protein and healthy fats, moderate saturated fat and sodium; supportive in moderation.",7
666,31,High Cholesterol,"Contains eggs and cheese, moderate saturated fat and cholesterol; limit frequency for cholesterol management.",6
667,31,High Blood Pressure,Moderate sodium; suitable if sodium is limited elsewhere.,7
668,31,Gout,Eggs are moderate in purines; suitable in moderation.,8
669,31,Fatty Liver,"Moderate fat, fiber, and protein; suitable in moderation for fatty liver.",8
670,31,High Cholesterol,Low saturated fat and cholesterol; supportive for cholesterol.,9
671,31,High Blood Pressure,Moderate sodium; generally acceptable for blood pressure.,8
672,31,Gout,"Plant-based, low purines; very safe for gout.",10
673,31,Fatty Liver,"Healthy fats from avocado, high carbs, high sodium; moderation needed.",6
674,31,High Cholesterol,"No cholesterol, low saturated fat; highly beneficial.",10
675,31,High Blood Pressure,High sodium from soy sauce and noodles; not optimal for hypertension.,5
676,31,Gout,"Plant-based, low purines; very safe for gout.",10
677,31,Fatty Liver,"High sugar and fat, small portion; fine as an occasional treat.",7
678,31,High Cholesterol,"Some saturated fat, small portion; acceptable in moderation.",8
679,31,High Blood Pressure,Very low sodium; no concern for hypertension.,10
680,31,Gout,"Plant-based, low purines; very safe for gout.",10
681,31,Fatty Liver,"Lean protein, low fat, low sodium; highly supportive for fatty liver.",9
682,31,High Cholesterol,"Low saturated fat, lean meat; supportive for cholesterol management.",10
683,31,High Blood Pressure,"Low sodium, lean protein; excellent for hypertension.",10
684,31,Gout,Chicken moderate in purines; safe in moderation.,8
685,31,Fatty Liver,"High sugar, refined carbs, small portion; occasional snack is fine.",6
686,31,High Cholesterol,"Low cholesterol, small amount of saturated fat; suitable infrequently.",8
687,31,High Blood Pressure,"Moderate sodium, small serving; generally acceptable.",8
688,31,Gout,"Plant-based, low purines; very safe for gout.",10
689,32,Fatty Liver,"Contains healthy fat, fiber, and protein, but refined carbs and moderate saturated fat; supportive with portion control.",7
690,32,High Cholesterol,Moderate saturated fat and cholesterol from eggs; limit frequency for cholesterol management.,6
691,32,High Blood Pressure,"Moderate sodium, potassium-rich; suitable if sodium is limited elsewhere.",7
692,32,Gout,"Eggs are moderate in purines, bagel is low; acceptable in moderation.",8
693,32,Fatty Liver,"Good protein and fiber, but high sodium and saturated fat from cheese; portion control needed.",6
694,32,High Cholesterol,"Contains cheese and chicken, moderate saturated fat; limit cheese for better management.",6
695,32,High Blood Pressure,High sodium from cheese and tortilla; not optimal for hypertension.,5
696,32,Gout,"Chicken and cheese moderate in purines, beans are low; safe in moderation.",7
697,32,Fatty Liver,"High in fat and refined carbs, low fiber; best as an occasional snack.",5
698,32,High Cholesterol,"Mostly unsaturated fat, low saturated fat; acceptable in small amounts.",7
699,32,High Blood Pressure,"Contains sodium, moderate portion acceptable.",7
700,32,Gout,"Plant-based, low purines; very safe for gout.",10
701,32,Fatty Liver,"High carb, moderate fat, includes fruits and vegetables; supportive if portion controlled.",7
702,32,High Cholesterol,"Plant-based, low saturated fat and no cholesterol; highly beneficial.",10
703,32,High Blood Pressure,"Moderate sodium from soy sauce, potassium-rich vegetables; supportive in moderation.",7
704,32,Gout,"Mushrooms moderate in purines, other items low; acceptable in moderation.",8
705,33,Fatty Liver,"High fiber, low fat, and plant-based; highly supportive for fatty liver.",10
706,33,High Cholesterol,"No cholesterol, low saturated fat, and healthy nuts; very beneficial.",10
707,33,High Blood Pressure,"Low sodium, high potassium from fruit and nuts; excellent for hypertension.",10
708,33,Gout,"Plant-based, low purines; very safe for gout.",10
709,33,Fatty Liver,"Lean protein, moderate fat, added sugar from fruit, and dressing; supportive in moderation.",7
710,33,High Cholesterol,"Contains mayonnaise and ranch, moderate saturated fat; limit dressings for best results.",7
711,33,High Blood Pressure,Moderate sodium from bread and dressing; portion control needed.,7
712,33,Gout,"Chicken breast moderate in purines, otherwise safe; moderation advised.",8
713,33,Fatty Liver,"Processed meat, cheese, refined carbs; best as an occasional snack.",5
714,33,High Cholesterol,Contains saturated fat and cholesterol; limit frequency.,5
715,33,High Blood Pressure,High sodium; not ideal for hypertension.,4
716,33,Gout,Pepperoni and cheese are moderate in purines; occasional intake is acceptable.,6
